name,pagerank,community
Addam-Marbrand,0.0016587120473340751,0
Aegon-Frey-(son-of-Stevron),0.0007146431916359387,2
Aegon-I-Targaryen,0.0017869863693748193,0
Aegon-Targaryen-(son-of-Rhaegar),0.0025583082313324996,7
Aegon-V-Targaryen,0.0003247676688786731,9
Aemon-Targaryen-(Dragonknight),0.00031858228379784973,0
Aemon-Targaryen-(Maester-Aemon),0.004169955180454289,9
Aenys-Frey,0.0008310859402909343,5
Aeron-Greyjoy,0.0038871274251105646,14
Aerys-I-Targaryen,0.00030326206395470974,0
Aerys-II-Targaryen,0.0033426116026585733,0
Aggar,0.0015190533693072348,18
Aggo,0.0015533776884615255,6
Alayaya,0.0008718843765072667,0
Albett,0.0006143767141521704,9
Alebelly,0.0008323821009834887,3
Alerie-Hightower,0.0004156444242619506,0
Alester-Florent,0.0011994702356980384,5
Alla-Tyrell,0.0008314039857737792,22
Allar-Deem,0.00043213448987733285,0
Allard-Seaworth,0.000694679782007477,23
Alleras,0.0018083172581956285,10
Alliser-Thorne,0.0021501505224382437,9
Alyn,0.0008186943858127452,0
Alys-Arryn,0.0007550842119164895,25
Alys-Karstark,0.0006245539789962747,9
Alysane-Mormont,0.0006769292647945718,16
Amabel,0.0005644350886028907,26
Amerei-Frey,0.0005771310020065878,0
Amory-Lorch,0.00254136655200283,0
Anders-Yronwood,0.00046810907576486864,27
Andrew-Estermont,0.0008759918921801468,28
Andrey-Dalt,0.0009419898929207333,30
Anguy,0.001438477387546567,11
Anya-Waynwood,0.0012845909803155518,31
Archibald-Yronwood,0.0008850816522460599,27
Ardrian-Celtigar,0.00042569966097010886,32
Areo-Hotah,0.00139809014453192,30
Arianne-Martell,0.0038241578171799052,30
Armen,0.0015147916866576664,10
Arnolf-Karstark,0.0011249639271688303,16
Aron-Santagar,0.000298806988487318,0
Arron,0.0006720402512018919,36
Arson,0.0003301102281782752,9
Arstan,0.0013930585896234078,6
Arthur-Dayne,0.0012301765408707628,17
Arwyn-Oakheart,0.00032424286302507185,39
Arya-Stark,0.013450669471547284,11
Arys-Oakheart,0.0013676647601353438,30
Asha-Greyjoy,0.005261015004440406,16
Ashara-Dayne,0.0003260887106238342,45
Aurane-Waters,0.0012435957800146869,0
Axell-Florent,0.0016918532410555105,5
Azor-Ahai,0.00031880996492076853,5
Bael-the-Bard,0.0003429371477378285,9
Baelor-Blacktyde,0.000986383769970522,15
Baelor-I-Targaryen,0.0005489698476601608,0
Ballabar,0.0008234212097940659,0
